City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
146,Imbituba,BR,2020-02-24 01:26:03,-28.24,-48.67,71.6,78,40,2.24,scattered clouds
147,Luganville,VU,2020-02-24 01:26:03,-15.53,167.17,86.0,70,75,11.41,broken clouds
148,Sitka,US,2020-02-24 01:20:31,57.05,-135.33,33.8,92,90,13.87,heavy snow
149,Lake Charles,US,2020-02-24 01:26:04,30.21,-93.2,62.6,77,75,9.17,broken clouds
150,Sioux Lookout,CA,2020-02-24 01:26:04,50.1,-91.92,33.8,74,90,18.34,light shower snow
151,Bethel,US,2020-02-24 01:19:44,41.37,-73.41,44.6,41,1,5.3,clear sky
152,Nacala,MZ,2020-02-24 01:26:04,-14.54,40.67,75.87,96,77,5.37,light rain
153,Texarkana,US,2020-02-24 01:26:05,33.43,-94.05,55.0,93,90,11.41,light rain
154,Iwaki,JP,2020-02-24 01:26:05,37.05,140.88,53.01,56,75,4.7,shower rain
155,Anadyr,RU,2020-02-24 01:20:02,64.75,177.48,-16.6,75,4,5.61,clear sky
156,Ponta Delgada,PT,2020-02-24 01:26:05,37.73,-25.67,55.4,93,20,4.7,few clouds
157,Mezen,RU,2020-02-24 01:26:06,65.85,44.24,31.6,86,100,19.01,overcast clouds
158,Jerantut,MY,2020-02-24 01:26:06,3.94,102.36,70.21,95,10,2.3,clear sky
159,San Vicente,AR,2020-02-24 01:26:06,-26.62,-54.13,65.71,92,60,2.53,light rain
160,Hun,LY,2020-02-24 01:26:06,29.13,15.95,48.96,73,0,4.68,clear sky
161,Saint-Augustin,CA,2020-02-24 01:17:43,51.23,-58.65,15.57,78,65,9.22,broken clouds
162,Pevek,RU,2020-02-24 01:19:52,69.7,170.31,-15.54,98,100,9.42,overcast clouds
163,Manaure,CO,2020-02-24 01:21:21,11.78,-72.44,78.8,78,75,13.87,broken clouds
164,Avrille,FR,2020-02-24 01:26:07,47.5,-0.58,52.0,93,90,11.41,overcast clouds
165,Bayir,TR,2020-02-24 01:20:55,37.27,28.22,37.4,93,0,4.7,clear sky
166,Waitati,NZ,2020-02-24 01:26:07,-45.75,170.57,66.0,60,52,14.0,broken clouds
167,Bandarbeyla,SO,2020-02-24 01:25:06,9.49,50.81,78.15,71,81,15.7,broken clouds
168,Annamalainagar,IN,2020-02-24 01:26:08,11.4,79.73,70.66,95,100,5.97,overcast clouds
169,Marrakesh,MA,2020-02-24 01:26:08,31.63,-8.01,60.8,31,0,3.36,clear sky
170,Jiuquan,CN,2020-02-24 01:20:15,39.74,98.52,26.01,43,43,2.91,scattered clouds
171,San Rafael,AR,2020-02-24 01:26:08,-34.62,-68.33,77.45,27,0,16.73,clear sky
172,Hualmay,PE,2020-02-24 01:26:09,-11.1,-77.61,75.36,67,84,5.55,broken clouds
173,Uirauna,BR,2020-02-24 01:26:09,-6.52,-38.41,74.8,86,49,2.19,light rain
174,Garissa,KE,2020-02-24 01:26:09,-0.45,39.64,79.16,72,27,7.56,scattered clouds
175,San Alberto,CO,2020-02-24 01:26:09,7.76,-73.39,81.64,64,100,2.33,overcast clouds
176,Lompoc,US,2020-02-24 01:16:13,34.64,-120.46,66.0,76,1,16.11,clear sky
177,Svetlogorsk,BY,2020-02-24 01:19:47,52.63,29.73,36.27,96,100,5.93,light rain
178,Geraldton,AU,2020-02-24 01:20:03,-28.77,114.6,78.8,78,21,5.82,light rain
179,Saldanha,ZA,2020-02-24 01:18:53,-33.01,17.94,64.4,55,0,5.82,clear sky
180,Buta,CD,2020-02-24 01:26:10,2.79,24.73,77.95,47,35,4.16,scattered clouds
