,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
167,167,Bathsheba,BB,2020-02-24 08:02:17,13.22,-59.52,78.8,78,20,14.99,few clouds,0.0,0.0
168,168,Bella Union,UY,2020-02-24 08:02:17,-30.28,-57.6,59.22,76,0,8.05,clear sky,0.0,0.0
169,169,Xichang,CN,2020-02-24 07:59:34,27.9,102.26,55.08,37,0,14.05,clear sky,0.0,0.0
170,170,Papara,BR,2020-02-24 08:02:18,-3.98,-38.73,78.8,88,40,3.36,scattered clouds,0.0,0.0
171,171,Biryusinsk,RU,2020-02-24 08:02:18,55.96,97.82,22.12,84,100,2.51,overcast clouds,0.0,0.0
172,172,Senneterre,CA,2020-02-24 08:02:18,48.38,-77.23,35.6,74,40,9.17,scattered clouds,0.0,0.0
173,173,Sao Gabriel Da Cachoeira,BR,2020-02-24 08:02:18,-0.13,-67.09,74.34,98,100,2.64,light rain,2.81,0.0
174,174,Ilinskiy,RU,2020-02-24 07:58:54,55.62,38.12,37.99,74,40,8.95,scattered clouds,0.0,0.0
175,175,Ust-Maya,RU,2020-02-24 08:02:19,60.42,134.53,2.53,97,100,2.17,light snow,0.0,0.19
176,176,Tecolutla,MX,2020-02-24 08:02:19,20.48,-97.02,68.95,93,56,3.53,broken clouds,0.0,0.0
177,177,Nobeoka,JP,2020-02-24 08:02:19,32.58,131.67,45.28,89,78,0.67,broken clouds,0.0,0.0
178,178,Nyrob,RU,2020-02-24 08:02:20,60.73,56.72,25.84,93,100,13.18,light snow,0.0,1.06
179,179,Santiago,CL,2020-02-24 07:59:55,-33.46,-70.65,55.4,82,0,5.82,clear sky,0.0,0.0
180,180,Malanje,AO,2020-02-24 08:02:20,-9.54,16.34,68.0,94,90,4.7,overcast clouds,0.0,0.0
181,181,Tilichiki,RU,2020-02-24 08:02:20,60.47,166.1,-0.63,87,100,6.62,overcast clouds,0.0,0.0
182,182,Chuy,UY,2020-02-24 08:02:20,-33.7,-53.46,61.75,87,7,6.46,clear sky,0.0,0.0
183,183,Rakaia,NZ,2020-02-24 08:02:21,-43.75,172.02,62.01,82,0,18.34,clear sky,0.0,0.0
184,184,San Jose,US,2020-02-24 08:01:07,37.34,-121.89,51.01,87,1,1.72,clear sky,0.0,0.0
185,185,Ahipara,NZ,2020-02-24 08:02:21,-35.17,173.17,66.6,75,0,10.74,clear sky,0.0,0.0
186,186,Bom Jesus,BR,2020-02-24 08:02:21,-9.07,-44.36,70.23,96,64,0.58,light rain,1.38,0.0
187,187,Lermontovka,RU,2020-02-24 08:02:21,47.15,134.34,18.66,97,100,5.95,light snow,0.0,0.13
188,188,Lompoc,US,2020-02-24 08:02:22,34.64,-120.46,53.01,93,90,13.18,overcast clouds,0.0,0.0
189,189,Cidreira,BR,2020-02-24 08:02:22,-30.18,-50.21,71.98,74,0,21.05,clear sky,0.0,0.0
190,190,Baruun-Urt,MN,2020-02-24 08:02:22,46.68,113.28,14.02,86,100,11.74,overcast clouds,0.0,0.0
191,191,Kudahuvadhoo,MV,2020-02-24 08:02:22,2.67,72.89,83.46,77,60,17.13,light rain,0.19,0.0
192,192,Monmouth,US,2020-02-24 08:02:22,40.3,-74.17,44.6,44,90,8.05,overcast clouds,0.0,0.0
193,193,Lodja,CD,2020-02-24 08:02:23,-3.48,23.43,73.8,93,100,1.83,light rain,0.38,0.0
194,194,Acari,PE,2020-02-24 08:02:23,-15.43,-74.62,67.05,90,99,2.01,overcast clouds,0.0,0.0
195,195,Mocuba,MZ,2020-02-24 08:02:23,-16.84,36.99,82.36,88,78,6.98,moderate rain,4.13,0.0
196,196,Gemena,CD,2020-02-24 08:02:23,3.25,19.77,95.27,40,19,4.61,few clouds,0.0,0.0
197,197,Mandalgovi,MN,2020-02-24 08:02:24,45.76,106.27,23.05,58,100,18.63,overcast clouds,0.0,0.0
198,198,Kandrian,PG,2020-02-24 08:00:22,-6.22,149.55,76.73,95,100,4.16,light rain,0.94,0.0
199,199,Petropavlovsk-Kamchatskiy,RU,2020-02-24 08:02:24,53.05,158.65,26.6,58,20,8.95,few clouds,0.0,0.0
200,200,Galle,LK,2020-02-24 08:02:24,6.04,80.22,82.47,70,33,9.1,scattered clouds,0.0,0.0
