City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Abu Samrah,SY,2020-02-22 21:28:20,35.3,37.18,48.97,84,100,5.3
261,Boende,CD,2020-02-22 21:25:00,-0.22,20.87,78.24,55,67,1.83
262,Srednekolymsk,RU,2020-02-22 21:28:20,67.45,153.68,-27.51,100,95,1.21
263,Laguna,US,2020-02-22 21:28:21,38.42,-121.42,73.99,30,1,4.03
264,Roebourne,AU,2020-02-22 21:28:21,-20.78,117.13,79.65,60,0,10.25
265,Dunedin,NZ,2020-02-22 21:28:21,-45.87,170.5,54.72,61,73,6.38
266,Ribeira Grande,PT,2020-02-22 21:27:13,38.52,-28.7,59.0,72,75,4.7
267,Xuanhua,CN,2020-02-22 21:28:21,40.61,115.04,24.39,25,0,2.68
268,Yangjiang,CN,2020-02-22 21:28:22,21.85,111.97,62.56,81,0,3.91
269,Tecuala,MX,2020-02-22 21:28:22,22.4,-105.46,91.85,34,100,6.64
270,Saldanha,ZA,2020-02-22 21:24:05,-33.01,17.94,66.2,77,85,11.41
271,Sinop,TR,2020-02-22 21:28:22,41.77,34.87,43.0,79,98,12.75
272,Upernavik,GL,2020-02-22 21:23:41,72.79,-56.15,-15.9,94,78,4.88
273,Deputatskiy,RU,2020-02-22 21:24:51,69.3,139.9,-12.66,100,93,0.58
274,Korla,CN,2020-02-22 21:28:23,41.76,86.15,25.97,49,0,2.86
275,Benjamin Hill,MX,2020-02-22 21:28:23,30.17,-111.1,70.0,61,100,1.99
276,Sioux Lookout,CA,2020-02-22 21:28:24,50.1,-91.92,41.0,41,75,5.82
277,Cherskiy,RU,2020-02-22 21:28:24,68.75,161.3,-20.52,97,96,4.97
278,Upington,ZA,2020-02-22 21:28:24,-28.45,21.26,77.0,25,0,9.17
279,Vestmannaeyjar,IS,2020-02-22 21:24:27,63.44,-20.27,34.2,60,100,5.57
280,Prado,BR,2020-02-22 21:27:02,-17.34,-39.22,81.5,84,94,15.95
281,Wanning,CN,2020-02-22 21:28:25,18.8,110.4,63.61,91,36,4.5
282,Qingyuan,CN,2020-02-22 21:28:25,23.7,113.03,69.01,82,20,2.51
283,La Cumbre,AR,2020-02-22 21:28:25,-30.98,-64.49,73.99,60,75,9.17
284,Beni Suef,EG,2020-02-22 21:28:25,29.07,31.1,57.16,57,71,5.3
285,Newton,US,2020-02-22 21:24:51,42.34,-71.21,46.99,28,0,9.17
286,Aklavik,CA,2020-02-22 21:28:26,68.22,-135.01,1.4,77,90,4.7
287,Quatre Cocos,MU,2020-02-22 21:28:26,-20.21,57.76,77.0,88,75,3.36
